Sample,Mean Wind Power,MeanLoad,Standard Deviation,Average,Variability,WindShare,LowPower,MedPower,HighPower,LowVar,MedVar,HighVar,LowWind,HighWind,Checksum,,,,Max average wind power,Max average wind power,Max wind power std deviation,Max average in sample,Max std deviation in sample,Max load,Number of samples
1,2037.36375,55223.90458,1197.57172,0.156720288,0.307069672,0.036892787,1,0,0,0,1,0,1,0,3,,,,101200,13000,3900,12987.65417,3895.854477,101184.9554,802
2,3437.089167,62364.55208,696.9429838,0.264391474,0.178703329,0.055112865,1,0,0,1,0,0,1,0,3,,,,,,,,,,
3,5629.447083,63140.03458,1154.329296,0.433034391,0.295981871,0.089158125,0,1,0,1,0,0,0,1,3,,,,,,,,,,
4,6290.325833,61597.35625,2627.317718,0.483871218,0.67367121,0.102120062,0,1,0,0,0,1,0,1,3,,,,,,,,,,
5,6303.080833,57271.94708,1141.237252,0.484852372,0.292624936,0.110055292,0,1,0,1,0,0,0,1,3,,,,,,,,,,
6,4945.155417,55254.26875,2257.453982,0.380396571,0.578834354,0.089498161,0,1,0,0,1,0,0,1,3,,,,,,,,,,
7,6170.327083,60891.5325,2331.174173,0.474640545,0.597736967,0.101333089,0,1,0,0,1,0,0,1,3,,,,,,,,,,
8,6271.562917,60046.51083,2098.23417,0.482427917,0.538008761,0.104445085,0,1,0,0,1,0,0,1,3,,,,,,,,,,
9,6553.95125,58074.82625,1811.930226,0.504150096,0.464597494,0.112853566,0,1,0,0,1,0,0,1,3,,,,,,,,,,
10,7522.705833,59098.52167,533.8395752,0.578669679,0.136881942,0.127290931,0,1,0,1,0,0,0,1,3,,,,,,,,,,
11,6094.420833,55964.42917,777.0685575,0.468801603,0.199248348,0.108898115,0,1,0,1,0,0,0,1,3,,,,,,,,,,
12,6681.410833,52289.15958,1792.937011,0.513954679,0.459727439,0.127778126,0,1,0,0,1,0,0,1,3,,,,,,,,,,
13,3563.774583,55362.17042,508.7010262,0.274136506,0.130436161,0.064372017,1,0,0,1,0,0,1,0,3,,,,,,,,,,
14,1860.252917,63503.69042,1058.339907,0.143096378,0.271369207,0.029293619,1,0,0,1,0,0,1,0,3,,,,,,,,,,
15,5244.78125,63741.40917,1720.057045,0.403444712,0.441040268,0.082282167,0,1,0,0,1,0,0,1,3,,,,,,,,,,
16,6752.261667,61832.01958,1021.250798,0.519404744,0.261859179,0.109203318,0,1,0,1,0,0,0,1,3,,,,,,,,,,
17,2166.33625,61468.1425,726.2444667,0.16664125,0.18621653,0.035243236,1,0,0,1,0,0,1,0,3,,,,,,,,,,
18,7360.483333,60820.2025,1089.967765,0.566191026,0.279478914,0.121020369,0,1,0,1,0,0,0,1,3,,,,,,,,,,
19,8188.59,53956.95875,1284.693359,0.629891538,0.329408554,0.151761519,0,1,0,0,1,0,0,1,3,,,,,,,,,,
20,5099.464583,56334.45917,1480.689133,0.392266506,0.37966388,0.090521231,0,1,0,0,1,0,0,1,3,,,,,,,,,,
21,6824.790417,65507.83125,937.3119964,0.524983878,0.240336409,0.104182817,0,1,0,1,0,0,0,1,3,,,,,,,,,,
22,1553.05,68250.29625,846.3505941,0.119465385,0.217012973,0.022755213,1,0,0,1,0,0,1,0,3,,,,,,,,,,
23,5053.862083,66213.84292,1948.705968,0.388758622,0.499668197,0.076326367,0,1,0,0,1,0,0,1,3,,,,,,,,,,
24,4323.9275,66723.605,1595.540191,0.332609808,0.40911287,0.064803565,0,1,0,0,1,0,1,0,3,,,,,,,,,,
25,5612.992917,63480.1425,1151.968475,0.431768686,0.295376532,0.08842124,0,1,0,1,0,0,0,1,3,,,,,,,,,,
26,3805.562083,58091.92417,1752.632975,0.292735545,0.44939307,0.065509314,1,0,0,0,1,0,1,0,3,,,,,,,,,,
27,4382.047917,56303.1125,2232.909291,0.337080609,0.572540844,0.077829586,0,1,0,0,1,0,0,1,3,,,,,,,,,,
28,1830.074167,57594.99417,1055.739898,0.140774936,0.270702538,0.031774882,1,0,0,1,0,0,1,0,3,,,,,,,,,,
29,4401.797917,56456.77167,1367.277242,0.33859984,0.350583908,0.077967581,0,1,0,0,1,0,0,1,3,,,,,,,,,,
30,7536.315,59110.20417,343.8182317,0.579716538,0.088158521,0.127496007,0,1,0,1,0,0,0,1,3,,,,,,,,,,
31,7991.991667,65197.05708,493.6168155,0.61476859,0.126568414,0.122582092,0,1,0,1,0,0,0,1,3,,,,,,,,,,
32,3754.6525,66678.87125,1224.892643,0.288819423,0.314075037,0.056309479,1,0,0,0,1,0,1,0,3,,,,,,,,,,
33,3011.599583,59611.75,1400.660137,0.231661506,0.359143625,0.050520234,1,0,0,0,1,0,1,0,3,,,,,,,,,,
34,3885.15125,57542.64208,1505.96037,0.298857788,0.386143685,0.067517777,1,0,0,0,1,0,1,0,3,,,,,,,,,,
35,2914.530833,62117.36375,1200.894335,0.224194679,0.307921624,0.046919744,1,0,0,0,1,0,1,0,3,,,,,,,,,,
36,4651.190833,61415.21625,1648.426706,0.35778391,0.422673514,0.075733525,0,1,0,0,1,0,0,1,3,,,,,,,,,,
37,3936.305833,60743.53083,1591.267318,0.302792756,0.408017261,0.064802058,0,1,0,0,1,0,1,0,3,,,,,,,,,,
38,3366.700417,59775.3725,892.9675327,0.258976955,0.228966034,0.056322533,1,0,0,1,0,0,1,0,3,,,,,,,,,,
39,3004.272083,60173.56375,1427.994954,0.231097853,0.366152552,0.049926777,1,0,0,0,1,0,1,0,3,,,,,,,,,,
40,5954.073333,55854.14833,531.6448723,0.458005641,0.136319198,0.106600378,0,1,0,1,0,0,0,1,3,,,,,,,,,,
41,7322.448333,53421.18917,895.4372674,0.563265256,0.229599299,0.137070111,0,1,0,1,0,0,0,1,3,,,,,,,,,,
42,8551.557083,59021.29458,1518.573856,0.657812083,0.389377912,0.144889351,0,0,1,0,1,0,0,1,3,,,,,,,,,,
43,4093.295,59608.35458,465.8542037,0.314868846,0.119449796,0.06866982,0,1,0,1,0,0,1,0,3,,,,,,,,,,
44,3349.175,58643.91833,1418.088051,0.257628846,0.363612321,0.057110355,1,0,0,0,1,0,1,0,3,,,,,,,,,,
45,6379.992083,58416.5025,1340.413887,0.490768622,0.343695868,0.109215578,0,1,0,0,1,0,0,1,3,,,,,,,,,,
46,3623.50625,59670.78208,772.7874037,0.27873125,0.198150616,0.060724967,1,0,0,1,0,0,1,0,3,,,,,,,,,,
47,1483.1325,57274.70583,641.4218361,0.114087115,0.164467137,0.02589507,1,0,0,1,0,0,1,0,3,,,,,,,,,,
48,6161.65625,55210.77875,1509.053872,0.473973558,0.38693689,0.111602415,0,1,0,0,1,0,0,1,3,,,,,,,,,,
49,8379.7925,58920.41083,1057.634386,0.644599423,0.271188304,0.142222235,0,1,0,1,0,0,0,1,3,,,,,,,,,,
50,8762.67625,62996.59917,983.4631191,0.674052019,0.252170031,0.139097608,0,0,1,1,0,0,0,1,3,,,,,,,,,,
51,3259.214583,64401.60458,1116.895768,0.250708814,0.28638353,0.050607661,1,0,0,1,0,0,1,0,3,,,,,,,,,,
52,5429.209167,64086.56208,1383.990391,0.417631474,0.354869331,0.084716811,0,1,0,0,1,0,0,1,3,,,,,,,,,,
53,3396.486667,60747.00208,1329.723256,0.261268205,0.340954681,0.055912005,1,0,0,0,1,0,1,0,3,,,,,,,,,,
54,1796.11125,55372.42042,607.3776657,0.138162404,0.155737863,0.032436929,1,0,0,1,0,0,1,0,3,,,,,,,,,,
55,1269.6075,53616.79375,529.8021681,0.097662115,0.13584671,0.023679288,1,0,0,1,0,0,1,0,3,,,,,,,,,,
56,1280.302917,58674.63708,933.4829,0.09848484,0.23935459,0.021820381,1,0,0,1,0,0,1,0,3,,,,,,,,,,
57,5696.40875,60008.65458,1094.551829,0.438185288,0.280654315,0.094926453,0,1,0,1,0,0,0,1,3,,,,,,,,,,
58,7261.037083,60046.22042,389.1081821,0.558541314,0.099771329,0.120924132,0,1,0,1,0,0,0,1,3,,,,,,,,,,
59,4419.128333,60183.77917,1457.440104,0.339932949,0.373702591,0.073427232,0,1,0,0,1,0,1,0,3,,,,,,,,,,
60,2914.150417,59483.26,342.6963763,0.224165417,0.087870866,0.048991101,1,0,0,1,0,0,1,0,3,,,,,,,,,,
61,1618.74125,56042.83083,740.4129261,0.124518558,0.189849468,0.028884002,1,0,0,1,0,0,1,0,3,,,,,,,,,,
62,4469.311667,54263.17292,1853.093337,0.343793205,0.475152138,0.082363626,0,1,0,0,1,0,0,1,3,,,,,,,,,,
63,4832.390417,59654.64125,1903.947966,0.37172234,0.488191786,0.08100611,0,1,0,0,1,0,0,1,3,,,,,,,,,,
64,5570.38625,60175.46583,1825.661148,0.42849125,0.468118243,0.092569059,0,1,0,0,1,0,0,1,3,,,,,,,,,,
65,2550.784583,60478.86792,1598.846762,0.196214199,0.409960708,0.04217646,1,0,0,0,1,0,1,0,3,,,,,,,,,,
66,3723.097917,59711.47708,1255.326232,0.286392147,0.321878521,0.062351462,1,0,0,0,1,0,1,0,3,,,,,,,,,,
67,4757.665833,57497.69583,1620.832436,0.365974295,0.415598061,0.08274533,0,1,0,0,1,0,0,1,3,,,,,,,,,,
68,6070.58125,52315.13875,516.8175348,0.466967788,0.132517317,0.116038711,0,1,0,1,0,0,0,1,3,,,,,,,,,,
69,7499.70125,50006.8575,597.8367597,0.576900096,0.153291477,0.149973456,0,1,0,1,0,0,0,1,3,,,,,,,,,,
70,5320.72,57415.41375,720.3719126,0.409286154,0.184710747,0.092670585,0,1,0,1,0,0,0,1,3,,,,,,,,,,
71,7645.56,58917.25667,1147.803693,0.58812,0.294308639,0.129767753,0,1,0,1,0,0,0,1,3,,,,,,,,,,
72,3713.472083,59812.22417,1398.603,0.285651699,0.358616154,0.062085504,1,0,0,0,1,0,1,0,3,,,,,,,,,,
73,2955.452083,58858.31792,1979.782519,0.227342468,0.507636543,0.050212989,1,0,0,0,1,0,1,0,3,,,,,,,,,,
74,2817.807917,56605.75833,904.0263905,0.216754455,0.231801639,0.049779528,1,0,0,1,0,0,1,0,3,,,,,,,,,,
75,3368.885833,52269.45292,1099.857369,0.259145064,0.28201471,0.064452288,1,0,0,1,0,0,1,0,3,,,,,,,,,,
76,5385.482917,53151.59958,1813.883246,0.414267917,0.465098268,0.101323064,0,1,0,0,1,0,0,1,3,,,,,,,,,,
77,7380.5325,59353.36458,655.2638853,0.567733269,0.168016381,0.124349016,0,1,0,1,0,0,0,1,3,,,,,,,,,,
78,6504.679583,60167.46542,1357.781555,0.500359968,0.348149117,0.108109583,0,1,0,0,1,0,0,1,3,,,,,,,,,,
79,6723.7425,61063.54917,1402.115811,0.517210962,0.359516875,0.110110575,0,1,0,0,1,0,0,1,3,,,,,,,,,,
80,1697.542917,61137.43583,832.0080466,0.130580224,0.213335397,0.027766014,1,0,0,1,0,0,1,0,3,,,,,,,,,,
81,734.85125,58529.5325,426.0256765,0.056527019,0.109237353,0.012555222,1,0,0,1,0,0,1,0,3,,,,,,,,,,
82,1311.462917,52370.89583,1074.334031,0.100881763,0.275470264,0.025041827,1,0,0,1,0,0,1,0,3,,,,,,,,,,
83,5607.619583,53129.11167,1299.921604,0.431355353,0.333313232,0.105547023,0,1,0,0,1,0,0,1,3,,,,,,,,,,
84,6760.278333,59142.77458,949.3806368,0.52002141,0.243430933,0.114304383,0,1,0,1,0,0,0,1,3,,,,,,,,,,
85,1749.8725,58116.13292,1239.608744,0.134605577,0.317848396,0.030109927,1,0,0,0,1,0,1,0,3,,,,,,,,,,
86,1709.506667,56959.12583,453.7576729,0.131500513,0.116348121,0.030012867,1,0,0,1,0,0,1,0,3,,,,,,,,,,
87,1847.919167,55187.47583,983.0640804,0.142147628,0.252067713,0.033484394,1,0,0,1,0,0,1,0,3,,,,,,,,,,
88,3183.114167,50871.56417,1333.855231,0.244854936,0.342014162,0.06257158,1,0,0,0,1,0,1,0,3,,,,,,,,,,
